hour,proportion
0.00000000000000000,0.04777203500000
1.0000000000000000,0.03911160800000
2.0000000000000000,0.035060763000000
3.000000000000000,0.02542254500000
4.0000000000000000,0.016762118000000
5.000000000000000,0.01285095700000
6.000000000000000,0.014666853000000
7.0000000000000000,0.02276854300000
8.000000000000000,0.031149602000000
9.000000000000000,0.034082972000000
10.00000000000000,0.03575918400000
11.000000000000000,0.038832239000000
12.000000000000000,0.04036876700000
13.000000000000000,0.04036876700000
14.000000000000000,0.04749266700000
15.000000000000000,0.0543371980000
16.000000000000000,0.0602039390000
17.00000000000000,0.0600642550000
18.00000000000000,0.0592261490000
19.000000000000000,0.06048330800000
20.000000000000000,0.0600642550000
21.000000000000000,0.05796899000000
22,0.05363877700000
23.000000000000000,0.05154351200000

